# SNID:                      ZTF18aaaooqj             
# SPECTRUM_ID:               2
# SPECTRUM_MJD:              60709.04
# SPECTRUM_TELESCOPE:        LT
# SPECTRUM_INSTRUMENT:       SPRAT
# SPECTRUM_TEXPOSE:          1200.0  
# SPECTRUM_STAT_SNR:         1.90    
# SPECTRUM_SYS_SNR:          11.44   
# SPECTRUM_VEXP:             4.027e-03
# SPECTRUM_NLAM:             891   
# SPECTRUM_OBSERVERS:        Daniel Perley, Jacob Wise, K-Ryan Hinds, Aleksandra Bochenek, Zoe McGrath
# SPECTRUM_INFILE:           ZTF18aaaooqj_60709.04_SPRAT.ascii
# -------------------------------------- #
#   WAVE     FLUX        FLUX_STATERR  FLUX_SYSERR 
    5662.15  1.02056e+00  6.27340e-01  8.44573e-02
    5666.87  1.09417e+00  6.45620e-01  8.43294e-02
    5671.59  1.06720e+00  6.32990e-01  8.41142e-02
    5676.30  1.04421e+00  6.47710e-01  8.40340e-02
    5681.02  9.69350e-01  6.74090e-01  8.37104e-02
    5685.74  1.00866e+00  6.45190e-01  8.35256e-02
    5690.46  1.17478e+00  6.20780e-01  8.35135e-02
    5695.18  1.03387e+00  6.62620e-01  8.35009e-02
    5699.91  9.18060e-01  6.62050e-01  8.31429e-02
    5704.63  1.09123e+00  6.48650e-01  8.31830e-02
    5709.35  1.03900e+00  6.20820e-01  8.29763e-02
    5714.08  1.12017e+00  5.86200e-01  8.30441e-02
    5718.80  1.03567e+00  6.37040e-01  8.28839e-02
    5723.53  1.04829e+00  6.40710e-01  8.27017e-02
